637.000,198.000,87.000,156.000
632.738,199.421,87.000,156.000
630.371,201.788,87.000,156.000
627.056,204.155,87.000,156.000
623.742,206.523,87.000,156.000
619.480,210.784,87.000,156.000
617.113,215.046,87.000,156.000
614.745,217.413,87.000,156.000
609.362,219.127,88.925,159.452
603.859,218.869,90.892,162.979
597.208,217.579,92.903,166.585
593.668,216.062,92.903,166.585
593.163,213.534,92.903,166.585
592.657,213.029,92.903,166.585
595.185,211.512,92.903,166.585
599.736,207.972,92.903,166.585
600.282,205.605,94.959,170.271
603.900,204.054,94.959,170.271
607.517,198.369,94.959,170.271
609.068,195.785,94.959,170.271
609.585,193.201,94.959,170.271
609.068,190.617,94.959,170.271
610.618,187.000,94.959,170.271
614.236,182.348,94.959,170.271
617.739,181.673,92.934,166.640
618.245,179.144,92.934,166.640
619.762,177.627,92.934,166.640
622.408,172.110,94.990,170.327
624.993,168.491,94.990,170.327
625.510,165.906,94.990,170.327
626.027,162.287,94.990,170.327
626.544,158.668,94.990,170.327
624.993,154.015,94.990,170.327
624.511,151.347,92.964,166.695
620.969,147.805,92.964,166.695
616.415,144.263,92.964,166.695
612.873,141.733,92.964,166.695
611.356,140.216,92.964,166.695
607.814,136.674,92.964,166.695
606.296,136.168,92.964,166.695
603.766,133.638,92.964,166.695
603.260,132.120,92.964,166.695
598.706,128.578,92.964,166.695
598.235,129.868,90.982,163.140
603.500,131.130,89.042,159.661
603.985,132.584,89.042,159.661
604.470,131.130,89.042,159.661
605.923,130.646,89.042,159.661
605.439,128.223,89.042,159.661
604.954,127.738,89.042,159.661
606.483,131.502,91.012,163.193
612.705,130.855,89.071,159.713
613.229,135.627,91.041,163.247
619.453,138.800,89.100,159.765
618.970,141.561,91.071,163.300
619.466,141.065,91.071,163.300
623.927,135.613,91.071,163.300
625.414,145.031,91.071,163.300
622.936,149.491,91.071,163.300
621.449,152.961,91.071,163.300
617.979,155.439,91.071,163.300
615.501,158.909,91.071,163.300
615.996,161.387,91.071,163.300
614.509,164.857,91.071,163.300
614.014,170.309,91.071,163.300
